0	1
1	2
2	7
3	4
4	7
4	8
5	6
6	8
8	9
9	10
10	13
11	12
12	14
13	14
14	15
15	20
16	17
17	21
18	19
19	22
20	23
21	24
22	25
23	26
24	27
25	28
26	29
27	30
28	31
29	32
30	33
31	34
32	35
33	36
34	37
35	38
36	39
37	40
38	41
39	42
40	43
41	44
42	45
43	46
44	47
45	48
46	49
47	50
48	51
49	52
50	53
51	54
52	55
53	56
54	57
55	58
56	59
57	60
58	61
59	62
60	63
61	64
62	65
63	66
64	67
65	68
66	69
67	70
68	71
69	72
70	73
71	74
72	75
73	76
74	77
75	78
76	79
77	80
78	81
79	82
80	83
81	84
82	85
83	86
84	87
85	87
86	87
87	88
88	90
89	90
