0	1
1	4
2	3
3	7
4	8
5	6
6	9
7	10
8	11
9	12
10	13
11	14
12	15
13	16
14	17
15	18
16	19
17	20
18	21
19	22
20	23
21	24
22	25
23	26
24	27
25	28
26	29
27	30
28	31
29	32
30	33
31	34
32	35
33	35
33	36
34	35
34	37
35	37
36	38
37	38
37	39
38	40
39	42
40	41
40	43
41	42
42	43
43	44
44	46
45	46
46	47
47	52
48	49
49	53
50	51
51	54
52	55
53	56
54	57
55	58
56	59
57	60
58	61
59	62
60	63
61	64
62	65
63	66
64	67
65	68
66	69
67	70
68	71
69	72
70	73
71	74
72	75
73	76
74	77
75	78
76	78
77	78
77	79
78	79
79	81
79	82
80	81
81	83
82	85
83	84
83	86
84	85
85	86
